0 	0 	0  	0
20 	-0.042 	-0.002  	19.184
40 	-0.212 	0.062  	40.82
60 	-0.137 	0.181  	61.002
80 	-0.308 	0.288  	80.488
100 	-0.322 	0.336  	99.652
120 	-0.301 	0.449  	119.302
140 	-0.412 	0.612  	140.212
160 	-0.25 	0.602  	159.592
180 	-0.202 	0.706  	179.064
200 	-0.03 	0.798  	200.416
220 	-0.142 	0.694  	223.796
240 	-0.169 	0.805  	243.374
260 	-0.086 	0.512  	262.252
280 	-0.043 	0.631  	284.534
300 	-0.251 	0.433  	304.074
320 	-0.111 	0.509  	324.014
340 	-0.289 	0.545  	346.762
360 	-0.179 	0.435  	367.322
380 	-0.048 	0.52  	384.928
400 	-0.021 	0.541  	396.11
420 	-0.049 	0.507  	411.126
440 	-0.004 	0.454  	439.652
460 	-0.277 	0.441  	453.07
480 	-0.258 	0.358  	474.688
500 	-0.267 	0.333  	495.49
520 	-0.223 	0.429  	517.386
540 	-0.179 	0.411  	539.178
560 	-0.063 	0.415  	550.69
580 	-0.149 	0.505  	569.19
600 	-0.293 	0.469  	579.262
620 	-0.321 	0.403  	595.746
640 	-0.275 	0.451  	619.546
660 	-0.375 	0.351  	637.422
680 	-0.358 	0.228  	659.56
700 	-0.369 	0.335  	674.678
720 	-0.282 	0.248  	695.304
740 	-0.237 	0.283  	713.078
760 	-0.309 	0.427  	736.778
780 	-0.293 	0.563  	752.714
800 	-0.288 	0.474  	770.892
820 	-0.28 	0.41  	802.324
840 	-0.204 	0.404  	821.572
860 	-0.277 	0.313  	839.374
880 	-0.34 	0.258  	858.148
900 	-0.397 	0.271  	871.526
920 	-0.335 	0.163  	896.046
940 	-0.314 	0.068  	914.212
960 	-0.402 	0.116  	932.892
980 	-0.405 	0.133  	951.506
1000 	-0.472 	0.024  	963.32
1020 	-0.521 	0.121  	989.978
1040 	-0.542 	0.254  	1001.14
1060 	-0.249 	0.315  	1025.65
1080 	-0.344 	0.16  	1046.45
1100 	-0.468 	0.27  	1062.94
1120 	-0.615 	0.445  	1080.08
1140 	-0.865 	0.527  	1099.09
1160 	-0.89 	0.388  	1135.64
1180 	-0.925 	0.511  	1155.07
1200 	-0.987 	0.559  	1175.85
1220 	-1.068 	0.504  	1200.33
1240 	-1.235 	0.545  	1220.5
1260 	-1.283 	0.491  	1225.88
1280 	-1.329 	0.609  	1233.62
1300 	-1.323 	0.685  	1247.9
1320 	-1.397 	0.631  	1278.1
1340 	-1.24 	0.612  	1292.32
1360 	-1.393 	0.641  	1302.49
1380 	-1.59 	0.768  	1319.43
1400 	-1.48 	0.958  	1335.84
1420 	-1.31 	0.752  	1352.07
1440 	-1.47 	0.726  	1386.73
1460 	-1.431 	0.621  	1403.23
1480 	-1.558 	0.616  	1402.25
1500 	-1.646 	0.712  	1425.5
1520 	-1.439 	0.687  	1454.2
1540 	-1.328 	0.71  	1474.3
1560 	-1.476 	0.462  	1497.46
1580 	-1.527 	0.415  	1530.33
1600 	-1.534 	0.306  	1548.54
1620 	-1.525 	0.121  	1565.36
1640 	-1.562 	0.142  	1573
1660 	-1.759 	0.209  	1574.79
1680 	-1.81 	0.338  	1605.73
1700 	-1.845 	0.289  	1623.79
1720 	-1.774 	0.41  	1642.34
1740 	-1.899 	0.441  	1661.21
1760 	-1.851 	0.521  	1667.2
1780 	-2.052 	0.512  	1687.29
1800 	-1.902 	0.534  	1701.86
1820 	-1.897 	0.511  	1726.18
1840 	-1.874 	0.508  	1746.28
1860 	-1.794 	0.634  	1766.76
1880 	-1.724 	0.57  	1775.22
1900 	-1.761 	0.513  	1795.55
1920 	-1.891 	0.547  	1826.53
1940 	-1.851 	0.507  	1839.61
1960 	-1.818 	0.55  	1865.84
1980 	-1.681 	0.505  	1889.68
