0 	0 	0 	0  	0
10 	0.003 	0.075 	0.016  	10.67
20 	0.014 	-0.018 	0.098  	21.092
30 	0.023 	-0.018 	-0.001  	32.118
40 	0.007 	0.02 	0.075  	42.368
50 	0.015 	0.098 	0.053  	54.284
60 	0.017 	-0.049 	0.012  	64.136
70 	-0.04 	-0.055 	-0.079  	73.998
80 	-0.044 	-0.049 	-0.105  	85.732
90 	-0.128 	-0.097 	-0.045  	93.97
100 	-0.098 	-0.102 	0.004  	103.604
110 	-0.061 	-0.149 	0.002  	113.55
120 	-0.061 	-0.213 	0.046  	122.634
130 	-0.077 	-0.184 	0.049  	132.37
140 	-0.018 	-0.145 	-0.035  	143.662
150 	0.006 	-0.147 	0.011  	154.296
160 	0.044 	-0.153 	-0.015  	162.252
170 	-0.073 	-0.109 	-0.034  	175.194
180 	-0.03 	-0.067 	-0.059  	184.268
190 	-0.068 	0.075 	-0.159  	194.976
200 	0.003 	-0.012 	-0.201  	205.25
210 	-0.01 	0.057 	-0.187  	215.138
220 	-0.037 	0.015 	-0.166  	219.84
230 	0.002 	0.018 	-0.166  	227.478
240 	0.138 	0.029 	-0.143  	237.216
250 	0.183 	-0.008 	-0.069  	247.81
260 	0.203 	-0.017 	-0.114  	257.328
270 	0.176 	-0.051 	-0.103  	269.364
280 	0.147 	0.033 	-0.152  	277.22
290 	0.188 	-0.055 	-0.061  	285.958
300 	0.135 	-0.053 	-0.002  	298.97
310 	0.095 	0.005 	0.07  	309.938
320 	0.11 	-0.092 	0.13  	322.16
330 	0.019 	-0.055 	0.13  	333.634
340 	0.02 	-0.05 	0.078  	345.408
350 	0.005 	0.008 	0.141  	356.558
360 	-0.028 	-0.074 	0.134  	367.822
370 	-0.042 	0.002 	0.172  	372.962
380 	-0.083 	-0.055 	0.118  	381.112
390 	-0.068 	-0.038 	0.152  	392.15
400 	0.035 	-0.04 	0.053  	404.13
410 	0.113 	-0.027 	0.06  	413.788
420 	0.157 	-0.088 	0.079  	422.61
430 	0.167 	-0.051 	0.042  	433.924
440 	0.115 	-0.038 	0.209  	443.578
450 	0.103 	-0.001 	0.172  	455.916
460 	0.13 	-0.041 	0.199  	468.192
470 	0.118 	-0.102 	0.198  	473.636
480 	0.089 	-0.009 	0.26  	480.168
490 	0.173 	-0.005 	0.304  	494.65
500 	0.235 	-0.015 	0.152  	503.218
510 	0.271 	0.018 	0.125  	516.102
520 	0.29 	0.062 	0.054  	522.63
530 	0.328 	0.149 	0.111  	533.632
540 	0.307 	0.168 	0.195  	546.452
550 	0.447 	0.208 	0.183  	554.08
560 	0.45 	0.13 	0.228  	567.842
570 	0.435 	-0.062 	0.185  	579.648
580 	0.421 	0.069 	0.208  	586.114
590 	0.358 	-0.004 	0.178  	591.862
600 	0.463 	-0.08 	0.145  	603.39
610 	0.402 	-0.099 	0.129  	608.044
620 	0.482 	-0.067 	0.107  	616.414
630 	0.504 	-0.093 	0.087  	627.606
640 	0.466 	-0.087 	-0.005  	634.794
650 	0.433 	-0.113 	-0.056  	645.416
660 	0.574 	-0.111 	-0.051  	652.94
670 	0.488 	-0.021 	-0.177  	663.482
680 	0.552 	0.047 	-0.179  	676.552
690 	0.556 	0.099 	-0.147  	686.026
700 	0.628 	0.161 	-0.213  	694.564
710 	0.584 	0.114 	-0.298  	703.598
720 	0.688 	0.037 	-0.251  	715.236
730 	0.677 	0.028 	-0.377  	722.596
740 	0.566 	0.029 	-0.331  	733.278
750 	0.503 	0.022 	-0.443  	740.396
760 	0.514 	0.056 	-0.478  	749.582
770 	0.576 	0.037 	-0.503  	757.488
780 	0.583 	0.015 	-0.538  	764.904
790 	0.702 	-0.06 	-0.534  	776.668
800 	0.812 	-0.052 	-0.488  	789.466
810 	0.768 	-0.079 	-0.509  	803.658
820 	0.731 	-0.016 	-0.515  	813.66
830 	0.769 	-0.032 	-0.449  	821.356
840 	0.704 	-0.047 	-0.583  	827.704
850 	0.665 	0.016 	-0.509  	836.188
860 	0.643 	0.053 	-0.488  	839.486
870 	0.649 	0.024 	-0.495  	849.08
880 	0.721 	-0.057 	-0.524  	854.604
890 	0.689 	0.038 	-0.543  	869.652
900 	0.705 	-0.055 	-0.648  	883.414
910 	0.657 	-0.085 	-0.502  	891.396
920 	0.722 	-0.129 	-0.565  	900.892
930 	0.778 	-0.141 	-0.483  	911.164
940 	0.726 	-0.168 	-0.354  	924.686
950 	0.765 	-0.173 	-0.396  	932.208
960 	0.807 	-0.102 	-0.371  	943.942
970 	0.798 	-0.15 	-0.354  	952.848
980 	0.782 	-0.174 	-0.45  	958.958
990 	0.841 	-0.227 	-0.432  	969.976
1000 	0.883 	-0.268 	-0.365  	981.738
1010 	0.881 	-0.277 	-0.316  	984.44
1020 	0.915 	-0.367 	-0.284  	987.43
1030 	0.864 	-0.367 	-0.333  	992.568
1040 	0.817 	-0.461 	-0.272  	1000.63
